Time: 2024-12-19 16:07:50.520007 	                 Trial: 11 	                 Objective value: 42.3309464774 	                 Parameters: {'F2': '97476.9954307418', 'F4': '67944.3991026112', 'F6': '53952.8363068065', 'Zeta': '2379.9512810508', 'Alpha': '16.5678787791', 'Beta': '-522.8325920714', 'T3': '40.6301574354', 'T4': '76.8044157890', 'T6': '-201.3223550280', 'T7': '291.2773069357', 'T8': '275.2425239971', 'M0': '3.3066011674', 'P2': '592.1517099095', 'B02': '-264.0274885258', 'B04': '421.7279645663', 'B06': '361.0513381225', 'B22': '-77.4481998066', 'B24': '294.9606949227', 'B44': '403.9461691355', 'B26': '-549.6634403489', 'B46': '-266.3304943413', 'B66': '-531.2475306142'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:50.682280 	                 Trial: 12 	                 Objective value: 38.8138560938 	                 Parameters: {'F2': '97472.1301050538', 'F4': '67934.3550109545', 'F6': '53950.6090052099', 'Zeta': '2378.0849028040', 'Alpha': '16.9034175058', 'Beta': '-516.7076370118', 'T3': '42.0066793596', 'T4': '76.5911705558', 'T6': '-200.1963920969', 'T7': '295.4011273039', 'T8': '282.7754844057', 'M0': '3.3405453684', 'P2': '551.0668566627', 'B02': '-249.7089759406', 'B04': '442.0223920195', 'B06': '359.0580509877', 'B22': '-77.0411757507', 'B24': '309.1998818494', 'B44': '400.8551044790', 'B26': '-549.3234636959', 'B46': '-263.8144485940', 'B66': '-539.5970483611'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:50.841625 	                 Trial: 13 	                 Objective value: 29.7930587393 	                 Parameters: {'F2': '97468.0671929992', 'F4': '67930.1227504770', 'F6': '53969.5323761223', 'Zeta': '2377.6789110525', 'Alpha': '16.9830507049', 'Beta': '-515.3950212609', 'T3': '42.8076922641', 'T4': '76.5621533198', 'T6': '-217.0525013754', 'T7': '271.0085959362', 'T8': '295.4826252874', 'M0': '3.3346382398', 'P2': '553.0992854051', 'B02': '-241.0324134462', 'B04': '448.0370476397', 'B06': '394.1181274081', 'B22': '-99.9992757822', 'B24': '313.0425704939', 'B44': '414.8175357569', 'B26': '-516.7979664977', 'B46': '-266.5713534340', 'B66': '-532.6897019444'} 	                 Best trial: 13 	                 Best objective value: 29.7930587393 
Time: 2024-12-19 16:07:50.997175 	                 Trial: 14 	                 Objective value: 37.4516031022 	                 Parameters: {'F2': '97461.6554255464', 'F4': '67930.0393366450', 'F6': '54048.7534035904', 'Zeta': '2377.1821122672', 'Alpha': '16.1935803059', 'Beta': '-533.5247174473', 'T3': '43.1991175292', 'T4': '70.1294055736', 'T6': '-219.4562414233', 'T7': '250.7595194238', 'T8': '302.5305282340', 'M0': '3.4485824754', 'P2': '552.3388842835', 'B02': '-232.0661328050', 'B04': '460.5360097264', 'B06': '395.4471157270', 'B22': '-99.0383539740', 'B24': '326.5466224686', 'B44': '414.6017885267', 'B26': '-511.4831433780', 'B46': '-278.4034553702', 'B66': '-522.6875600269'} 	                 Best trial: 13 	                 Best objective value: 29.7930587393 
Time: 2024-12-19 16:07:51.159072 	                 Trial: 15 	                 Objective value: 28.8992246542 	                 Parameters: {'F2': '97497.4068397394', 'F4': '67898.2164015946', 'F6': '53969.7219648671', 'Zeta': '2377.3995710941', 'Alpha': '17.5727669912', 'Beta': '-512.8228795000', 'T3': '42.9721373646', 'T4': '78.0841277599', 'T6': '-219.5967625292', 'T7': '270.6958689379', 'T8': '331.7350344125', 'M0': '3.1772928042', 'P2': '623.2161281144', 'B02': '-236.6633997218', 'B04': '480.7643433619', 'B06': '399.7458698541', 'B22': '-69.5037192516', 'B24': '282.9840116032', 'B44': '443.3428388585', 'B26': '-495.4737722873', 'B46': '-248.6981720067', 'B66': '-564.2218129660'} 	                 Best trial: 15 	                 Best objective value: 28.8992246542 
Time: 2024-12-19 16:07:51.311575 	                 Trial: 16 	                 Objective value: 24.1973007582 	                 Parameters: {'F2': '97499.9741727648', 'F4': '67900.2405741069', 'F6': '53965.0335719584', 'Zeta': '2377.3933678295', 'Alpha': '17.2940927412', 'Beta': '-546.7738924866', 'T3': '42.1890470028', 'T4': '79.6746095613', 'T6': '-221.7531165054', 'T7': '266.5207440219', 'T8': '339.6672455816', 'M0': '3.1896407004', 'P2': '619.4361639914', 'B02': '-232.5222361697', 'B04': '478.0586730788', 'B06': '399.9246172065', 'B22': '-68.7515829115', 'B24': '284.6431874030', 'B44': '445.3802779782', 'B26': '-492.0474667198', 'B46': '-246.4579140156', 'B66': '-568.8883126995'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:51.473937 	                 Trial: 17 	                 Objective value: 40.4992184009 	                 Parameters: {'F2': '97493.5323575104', 'F4': '67897.0110673350', 'F6': '53965.4138145149', 'Zeta': '2376.8233975738', 'Alpha': '18.5637310034', 'Beta': '-547.5306117541', 'T3': '41.6708616029', 'T4': '79.3345525624', 'T6': '-270.6229148467', 'T7': '266.1552711038', 'T8': '348.4271235010', 'M0': '3.1500873393', 'P2': '624.6294343472', 'B02': '-224.5165614996', 'B04': '480.4219744176', 'B06': '399.3885618439', 'B22': '-68.9020327008', 'B24': '281.0564438851', 'B44': '444.3371950301', 'B26': '-489.4253266277', 'B46': '-246.7937199929', 'B66': '-568.4095872536'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:51.625917 	                 Trial: 18 	                 Objective value: 51.8794545205 	                 Parameters: {'F2': '97487.8621153884', 'F4': '67899.2949121816', 'F6': '53964.5248241247', 'Zeta': '2371.1082929249', 'Alpha': '17.5634206082', 'Beta': '-591.0106470205', 'T3': '43.8882409462', 'T4': '78.2318996121', 'T6': '-221.3511648654', 'T7': '262.9265500127', 'T8': '331.5879701156', 'M0': '3.0377313260', 'P2': '612.3103324647', 'B02': '-236.7958457424', 'B04': '480.3198381977', 'B06': '381.0089524638', 'B22': '-67.2566729992', 'B24': '281.4655281472', 'B44': '446.1564198660', 'B26': '-478.6367246769', 'B46': '-200.0002096584', 'B66': '-567.7055002227'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:51.785520 	                 Trial: 19 	                 Objective value: 53.5988236640 	                 Parameters: {'F2': '97484.1421189781', 'F4': '67885.5499074307', 'F6': '53972.0670916403', 'Zeta': '2372.7994379408', 'Alpha': '18.4399991613', 'Beta': '-550.8092627766', 'T3': '45.8893262458', 'T4': '79.8509306238', 'T6': '-226.0368303941', 'T7': '281.7713304791', 'T8': '337.1409496044', 'M0': '3.1959090955', 'P2': '630.4592243015', 'B02': '-218.9449338630', 'B04': '477.6191754769', 'B06': '388.1879058555', 'B22': '-83.0157528363', 'B24': '251.0206204431', 'B44': '455.9250817942', 'B26': '-470.6979379560', 'B46': '-240.5142433599', 'B66': '-580.0128990384'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:51.946300 	                 Trial: 20 	                 Objective value: 64.3020885324 	                 Parameters: {'F2': '97498.7650915741', 'F4': '67906.7595778681', 'F6': '53995.6875424019', 'Zeta': '2375.8962908366', 'Alpha': '19.8750784033', 'Beta': '-531.2071866924', 'T3': '40.0417648316', 'T4': '75.5767522966', 'T6': '-269.5598240048', 'T7': '309.4440254586', 'T8': '341.7697916508', 'M0': '3.4276031885', 'P2': '611.3674369954', 'B02': '-258.3607998970', 'B04': '470.6836948529', 'B06': '350.7227526787', 'B22': '-66.2017097167', 'B24': '278.4908050417', 'B44': '440.0131505987', 'B26': '-500.8698871452', 'B46': '-251.4249413252', 'B66': '-559.4018947248'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:52.106216 	                 Trial: 21 	                 Objective value: 26.9762096731 	                 Parameters: {'F2': '97483.5048199913', 'F4': '67871.6295859782', 'F6': '53963.6290868294', 'Zeta': '2377.7478822696', 'Alpha': '17.2899238613', 'Beta': '-514.9601673134', 'T3': '42.7656818357', 'T4': '78.4338943414', 'T6': '-213.3732942892', 'T7': '260.7043307190', 'T8': '293.9660835071', 'M0': '3.2260439727', 'P2': '582.1933914596', 'B02': '-240.3527582622', 'B04': '450.2028470504', 'B06': '394.3625094552', 'B22': '-97.6502943550', 'B24': '301.8351809405', 'B44': '413.2695840042', 'B26': '-496.4412955631', 'B46': '-256.4985108501', 'B66': '-560.9504811584'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:52.266359 	                 Trial: 22 	                 Objective value: 26.1660887012 	                 Parameters: {'F2': '97484.7469108303', 'F4': '67872.4741817028', 'F6': '53961.9150778612', 'Zeta': '2378.3082955828', 'Alpha': '17.4352781816', 'Beta': '-526.3242390220', 'T3': '41.4595809922', 'T4': '78.3399572401', 'T6': '-227.7524099295', 'T7': '259.1672022855', 'T8': '308.6299489958', 'M0': '3.0174369819', 'P2': '580.8256476769', 'B02': '-232.1617789194', 'B04': '487.6173814440', 'B06': '386.4276389588', 'B22': '-86.0155076976', 'B24': '301.8867105665', 'B44': '460.9829373113', 'B26': '-493.8456443802', 'B46': '-255.2544414527', 'B66': '-579.4269016743'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:52.429966 	                 Trial: 23 	                 Objective value: 26.2751766237 	                 Parameters: {'F2': '97484.1124744969', 'F4': '67873.1257141569', 'F6': '53960.3085581044', 'Zeta': '2378.6376603457', 'Alpha': '17.1962334496', 'Beta': '-527.4958924892', 'T3': '41.2999720681', 'T4': '79.1905447145', 'T6': '-227.6741276678', 'T7': '253.3775137991', 'T8': '308.6776281702', 'M0': '3.0097766052', 'P2': '587.3206694519', 'B02': '-251.3508683577', 'B04': '488.1745581778', 'B06': '371.3053727081', 'B22': '-92.3035846173', 'B24': '302.7960619343', 'B44': '463.8312959513', 'B26': '-475.1814708257', 'B46': '-254.8652966768', 'B66': '-577.1306469306'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:52.591745 	                 Trial: 24 	                 Objective value: 37.5892001753 	                 Parameters: {'F2': '97483.1545584811', 'F4': '67871.8685162316', 'F6': '53961.3216726871', 'Zeta': '2378.6966904516', 'Alpha': '18.2688163240', 'Beta': '-528.0257055683', 'T3': '41.3146269000', 'T4': '78.9605036718', 'T6': '-229.8701655392', 'T7': '254.8671136316', 'T8': '304.9585305827', 'M0': '3.0137724690', 'P2': '587.3184078201', 'B02': '-228.5219850086', 'B04': '489.9567998349', 'B06': '372.2205699568', 'B22': '-85.3505977024', 'B24': '299.3458756771', 'B44': '462.2614867173', 'B26': '-460.5019624136', 'B46': '-237.3066279290', 'B66': '-578.2112024275'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
